CÓDIGO DANE,DEPARTAMENTO,MUNICIPIO,CENTRO POBLADO,NATURALEZA DE LA BIBLIOTECA,TIPO DE BIBLIOTECA,NOMBRE DE LA BIBLIOTECA,DIRECCIÓN DE LA BIBLIOTECA,BARRIO,TELÉFONOS DE CONTACTO,EXTENSIÓN,FAX,PÁGINA WEB DE LABIBLIOTECA,ESTADO DE LA BIBLIOTECA,GEOREFERENCIA
91540000,AMAZONAS,PUERTO NARIÑO,PUERTO NARIÑO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL POPERAPATA,CARRERA 1 CON CALLE 8,CENTRO,/3214276053/,,,,ABIERTA,"(-3.7733333°,-70.3819444°)"
81001000,ARAUCA,ARAUCA,ARAUCA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE ARAUCA  RAUL LOYO ROJAS,CARRERA 19 No.23-20  AV CIUDAD DE ARAUCA,CORDOBA,8857441  /3176855629/8857441,,,https://www.arauca-arauca.gov.co/Institucional/Por,ABIERTA,"(7.0874250°,-70.7567810°)"
81065000,ARAUCA,ARAUQUITA,ARAUQUITA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL CONSUELO AVILA,CALLE 2 NO. 5-71 ,CENTRO,8835647/3138820771/8836477,,,http://www.facebook.com/BibliotecaConsueloAvila,ABIERTA,"(7.0276390°,-71.4280200°)"
81736000,ARAUCA,SARAVENA,SARAVENA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA ABEL BETANCOURT RUIZ,CALLE 20 CARRERA 15- CASA DE LA CULTURA,COCHISE,8820298 /3124497161/,,,https://www.facebook.com/BibliotecaAbelBetancourtR,ABIERTA,"(6.9462116°,-71.8694779°)"
81794000,ARAUCA,TAME,TAME,ESTATAL,MUNICIPAL,CENTRO DEL CONOCIMIENTO CORONEL FRAY IGNACIO MARIÑO. BIBLIOTECA PÚBLICA VIRTUAL,CALLE 15 N° 29 - 42,VERGEL,8887848/3106732555/8887848,,,facebook.com/BPFrayIgnacioMarino,ABIERTA,"(6.4561584°,-71.7284449°)"
88564000,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,PROVIDENCIA,ESTATAL,MUNICIPAL,BIBLIOTECA MUNICIPAL DE CASA BAJA,CASA BAJA DIAGONAL COLISEO MUNICIPAL,CASA BAJA,3202240163 /3202240163 /,,,,ABIERTA,"(12.5569930°,-81.7082830°)"
88564000,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,PROVIDENCIA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA DE PROVIDENCIA Y SANTA CATALINA ISLA. ,EL CABALLETE DIAGONAL LUDOTECA MUNICIPAL,EL CABALLETE,3202240163 /3202240163 /0,,,,ABIERTA,"(12.5543120°,-81.7189260°)"
88001000,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",SAN ANDRES,SAN ANDRÉS,ESTATAL,DEPARTAMENTAL,BIBLIOTECA PÚBLICA NUNNUNLY PUSEY  ,AVENIDA NEWBALL PARQUE SUNRISE,CENTRO PARQUE SUNRISE,5129121  /3163235109  /5129170,,,,CERRADA,"(12.5471490°,-81.7080260°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA CARLOS E. RESTREPO,TRANSVERSAL 21 A # 19-54 SUR PISO 2 Y 3,RESTREPO,3790164  /3007942579/3790150,6020,,www.biblored.gov.co,ABIERTA,"(4.5849380°,-74.1025470°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA ARBORIZADORA ALTA,Calle 70 Sur N° 34-05,Arborizadora Alta,3790176/3143724027/3790176,6140,,www.biblored.gov.co,ABIERTA,"(4.5720653°,-74.1602312°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA LA GIRALDA,CARRERA 104B N° 22J - 15,Fontibon,4181947/3790163  /3112973134/4181947,6070,,www.biblored.gov.co,ABIERTA,"(4.6773729°,-74.1460465°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA LA VICTORIA,CALLE 37 BIS B SUR # 2 - 81 ESTE,La Victoria,3646483/2077169/3790165  /3208334476/,6030,,www.biblored.gov.co,ABIERTA,"(4.5551000°,-74.0949300°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA RAFAEL URIBE URIBE,CARRERA 13B N° 31G-40 SUR,GUSTAVO RESTREPO,3790172  /3178355831/3790172,6100,,www.biblored.gov.co,ABIERTA,"(4.5752057°,-74.1116977°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA LAGO TIMIZA,CARRERA 74 N° 42G-52 SUR,LAGO TIMIZA,3790175 0/3118656144/3790150,6130,,www.biblored.gov.co,ABIERTA,"(4.6295366°,-74.1436010°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA BOSA,CARRERA 97 C N° 69 A - 08 SUR CENTRO COMERCIAL METRO RECREO,Ciudadela El Recreo,"3790160/3792530
/3103082791
/3792530
",6040,,"www.biblored.gov.co
",ABIERTA,"(4.6321803°,-74.2029042°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA EL TINTAL MANUEL ZAPATA OLIVELLA,Av. Ciudad de Cali No. 6C-09,El Tintal,3793550/3153080430/3793578,1001,379 3579,www.biblored.gov.co,ABIERTA,"(4.6453380°,-74.1542820°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA GABRIEL GARCÍA MÁRQUEZ,CALLE 48B SUR N°  21-13,CIUDAD TUNAL,3790000/3108787254/3790000,2000,3790029,www.biblored.gov.co/,ABIERTA,"(4.5722058°,-74.1299435°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA FRANCISCO JOSE DE CALDAS - SUBA,CARRERA 92 N° 146C-24,Subazar,3790167  /3142297968/,6051,,www.biblored.gov.co,ABIERTA,"(4.7477988°,-74.0838308°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA LAS FERIAS,CARRERA 69J NO. 73-29,LAS FERIAS,2509507/3790170 /3123222283/3790170,6080,,www.biblored.gov.co,ABIERTA,"(4.6836135°,-74.0893745°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA PUENTE ARANDA NESTOR FORERO ALCALA,CALLE 4 N° 31D-30,Veraguas,2772471/3790171  /3108035690/7590616,6090,,wwwbiblored.gov.co,ABIERTA,"(4.6165127°,-74.1142287°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA PERDOMO SOLEDAD LAMPREA,DIAGONAL  62G SUR N° 72B-51 - PISO 2,PERDOMO,7783737 / 3790174  /3132278550/4514103,6120,,http://www.biblored.gov.co/,ABIERTA,"(4.5882093°,-74.1677686°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA VENECIA PABLO DE TARSO,DIAGONAL 47A N° 53B - 92 SUR,Venecia,3790173  /3017355610/7244662,6110,,www.biblored.gov.co,ABIERTA,"(4.5934930°,-74.1408490°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA VIRGILIO BARCO,AVENIDA CARRERA 60 N° 57-60,QUIRINAL,3793520 /3004939579/3793520,3002,,www.biblored.gov.co,ABIERTA,"(4.6564380°,-74.0879880°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,CENTRO CULTURAL BIBLIOTECA PÚBLICA JULIO MARIO SANTO DOMINGO,AVENIDA CALLE 170 N° 67-51 ,San José de Bavaria,3792530  /3177679891/3792530,4002,3792530,www.biblored.gov.co,ABIERTA,"(4.7564253°,-74.0621740°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA LA PEÑA,CARRERA 7 ESTE N° 5 -57,La Peña,3790177/3122685537/3790177,6151,,http://www.biblored.gov.co/,ABIERTA,"(4.5876621°,-74.0668636°)"
13030000,BOLIVAR,ALTOS DEL ROSARIO,ALTOS DEL ROSARIO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE ALTOS DEL ROSARIO,CALLE DE LAS FLORES ,LAS FLORES,/3126366634/,,,,ABIERTA,"(8.8000920°,-74.1667270°)"
13042000,BOLIVAR,ARENAL,ARENAL,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL RAUL JIMENEZ ARIZA,CASA DE LA CULTURA - B/ SAN LORENZO,SAN LORENZO,/3106611126 /,,,,ABIERTA,"(8.4595740°,-73.9427090°)"
13062000,BOLIVAR,ARROYOHONDO,ARROYOHONDO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL ROSARIO SARABIA OROZCO,CALLE 7A FRENTE AL PARQUE PRINCIPAL,CENTRO,3002225303/3002225303/,,,,ABIERTA,"(10.2555290°,-75.0190900°)"
13074000,BOLIVAR,BARRANCO DE LOBA,BARRANCO DE LOBA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE BARRANCO DE LOBA,CALLE DE LA IGLESIA CARRERA 12 N° 14-10.,CENTRO,/3126690089/,,,,ABIERTA,"(8.9465400°,-74.1081300°)"
13160000,BOLIVAR,CANTAGALLO,CANTAGALLO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA DEL MUNICIPIO DE CANTAGALLO,CORREGIMIENTO BRISAS DE BOLIVAR,CORREGIMIENTO BRISAS DE BOLIVAR,3202498407/3204523338/3202498407/,,,,ABIERTA,"(7.4166667°,-73.9500000°)"
13001004,BOLIVAR,CARTAGENA,BAYUNCA,COMUNITARIA,RURAL,BIBLIOTECA PÚBLICA JUAN CARLOS ARANGO,BAYUNCA CALLE SAN ANTONIO N°  9-88,BAYUNCA,3122556903/3045434098/,,,,ABIERTA,"(10.5358930°,-75.3968740°)"
